Q83309,"Johann Strauss II",1825-10-25,1899-06-03,"Romantic",2022-06-11T07:14:20+00:00
Q191499,"Scott Joplin",1868-11-24,1917-04-01,"Romantic",2022-06-11T07:08:55+00:00
Q152505,"Leonard Bernstein",1918-08-25,1990-10-14,"Modernism",2022-06-11T07:02:51+00:00
Q292972,"Ólafur Arnalds",1986-11-03,None,"Contemporary",2022-06-11T06:55:12+00:00
Q3395608,"Joseph Parry",1841-05-21T00:00:00Z,1903-02-17T00:00:00Z,"Romantic",2022-06-11T06:50:32+00:00
Q254,"Wolfgang Amadeus Mozart",1756-01-27,1791-12-05,"Classical",2022-06-11T06:44:33+00:00
Q450467,"Edward MacDowell",1860-12-18,1908-01-23,"Romantic",2022-06-11T06:40:01+00:00
Q450467,"Edward MacDowell",1860-12-18,1908-01-23,"Romantic",2022-06-11T06:38:35+00:00
None,"Emily Sprague",None,None,"None",2022-06-11T06:34:03+00:00
Q1340,"Antonio Vivaldi",1678-03-04,1741-07-28,"Baroque",2022-06-11T06:24:12+00:00
None,"Barbara",None,None,"None",2022-06-11T06:20:41+00:00
Q215161,"Charles-Marie Widor",1845-02-24T00:00:00Z,1937-03-12T00:00:00Z,"Romantic",2022-06-11T06:15:11+00:00
Q9726,"Gioacchino Rossini",1792-02-29T00:00:00Z,1868-11-13T00:00:00Z,"Romantic",2022-06-11T06:04:30+00:00
Q254,"Wolfgang Amadeus Mozart",1756-01-27,1791-12-05,"Classical",2022-06-11T05:38:29+00:00
Q697194,"Joseph Leopold Eybler",1765-02-08,1846-07-24,"Classical",2022-06-11T05:15:18+00:00
Q7349,"Joseph Haydn",1732-03-31,1809-05-31,"Classical",2022-06-11T04:52:33+00:00
Q259670,"Rebecca Clarke",1886-08-27,1979-10-13,"Contemporary",2022-06-11T04:44:00+00:00
Q1319090,"Joan Baptista Pla",1720-01-01T00:00:00Z,1773-01-01T00:00:00Z,"Baroque",2022-06-11T04:35:15+00:00
Q477571,"Charles Griffes",1884-09-17T00:00:00Z,1920-04-08T00:00:00Z,"Modernism",2022-06-11T04:26:09+00:00
Q1339,"Johann Sebastian Bach",1685-03-31,1750-07-28,"Baroque",2022-06-11T04:16:48+00:00
Q192185,"Aaron Copland",1900-11-14,1990-12-02,"Modernism",2022-06-11T04:10:20+00:00
Q255,"Ludwig van Beethoven",1770-12-16,1827-03-26,"Classical",2022-06-11T04:00:59+00:00
Q449836,"Stan Golestan",1875-06-07T00:00:00Z,1956-04-21T00:00:00Z,"Modernism",2022-06-11T03:51:42+00:00
None,"Sabin Pautza",None,None,"None",2022-06-11T03:43:05+00:00
Q83326,"Béla Bartók",1881-03-25,1945-09-26,"Modernism",2022-06-11T03:36:13+00:00
Q4994102,"Jørgen Jersild",1913-09-17,2004-02-06,"Modernism",2022-06-11T03:20:02+00:00
