Gustav Holst,1874-09-21T00:00:00Z,1934-05-25T00:00:00Z,None,Venus,Tue Mar 29 05:32:09 +0000 2022
Gustav Mahler,1860-07-07T00:00:00Z,1911-05-18T00:00:00Z,None,Lieder eines fahrende... ,Tue Mar 29 05:12:19 +0000 2022
Gabriel Fauré,1845-05-12T00:00:00Z,1924-11-04T00:00:00Z,Romantic music,Trio for piano and st... ,Tue Mar 29 04:50:33 +0000 2022
Krzysztof Penderecki,1933-11-23T00:00:00Z,2020-03-29T00:00:00Z,None,Largo for cello and o... ,Tue Mar 29 04:26:43 +0000 2022
Fernando Sor,1778-02-13T00:00:00Z,1839-07-10T00:00:00Z,None,Introduction and variations on Mozart\'s \'O cara armoni... ,Tue Mar 29 04:17:55 +0000 2022
Edward Elgar,1857-06-02T00:00:00Z,1934-02-23T00:00:00Z,None,Serenade for Strings ... ,Tue Mar 29 04:07:01 +0000 2022
Alfredo Casella,1883-07-25T00:00:00Z,1947-03-05T00:00:00Z,None,Barcarola e scherzo ,Tue Mar 29 03:58:04 +0000 2022
Ruth Watson Henderson,1932-11-23T00:00:00Z,None,None,Magnificat ,Tue Mar 29 03:51:09 +0000 2022
Arcangelo Corelli,1653-02-17T00:00:00Z,1713-01-13T00:00:00Z,Baroque music,Concerto Grosso in D Op 6 No 4 ,Tue Mar 29 03:41:57 +0000 2022
Alexander Borodin,1833-11-12T00:00:00Z,1887-02-28T00:00:00Z,None,Overture to Prince Igor ,Tue Mar 29 03:31:17 +0000 2022
Johann Heinrich Schmelzer,1620-01-01T00:00:00Z,1680-03-20T00:00:00Z,Baroque music,Sonata in D major for 3 viol... ,Tue Mar 29 03:23:28 +0000 2022
Camille Saint‐Saëns,None,None,None,Les titans,Tue Mar 29 03:16:04 +0000 2022
Henryk Wieniawski,1835-07-10T00:00:00Z,1880-03-31T00:00:00Z,None,Polonaise in A major for violi... ,Tue Mar 29 03:07:27 +0000 2022
Howard Cable,1920-12-15T00:00:00Z,2016-03-30T00:00:00Z,None,The Banks of Newfoundland ,Tue Mar 29 02:58:43 +0000 2022
Marcel Tournier,1879-01-05T00:00:00Z,1951-05-08T00:00:00Z,western classical music,Images for harp and stri... ,Tue Mar 29 02:47:57 +0000 2022
Chan Ka Nin,1949-12-03T00:00:00Z,None,None,Four seasons suite ,Tue Mar 29 02:35:36 +0000 2022
Franz Schubert,1797-01-31T00:00:00Z,1828-11-19T00:00:00Z,None,Fantasie in F minor,Tue Mar 29 02:16:08 +0000 2022
Johann Sebastian Bach,1685-03-31T00:00:00Z,1750-07-28T00:00:00Z,Baroque music,Jesu,Tue Mar 29 01:54:13 +0000 2022
Felix Mendelssohn,1809-02-03T00:00:00Z,1847-11-04T00:00:00Z,Romantic music,Sextet for piano and ... ,Tue Mar 29 01:31:16 +0000 2022
Arnold Schoenberg,1874-09-13T00:00:00Z,1951-07-13T00:00:00Z,None,Folksongs for chorus,Tue Mar 29 01:15:39 +0000 2022
Maurice Ravel,1875-03-01T00:00:00Z,1937-12-28T00:00:00Z,impressionism in music,String Quartet in F major ,Tue Mar 29 00:45:15 +0000 2022
Igor Stravinsky,1882-06-18T00:00:00Z,1971-04-06T00:00:00Z,None,Pulcinella,Tue Mar 29 00:22:53 +0000 2022
Sir George Benjamin,None,None,None,Concerto for Orchestra ,Tue Mar 29 00:06:02 +0000 2022
Oliver Knussen,1952-06-12T00:00:00Z,2018-07-08T00:00:00Z,None,Prayer Bell Sketch ,Mon Mar 28 23:59:34 +0000 2022
